+----------------------------------+---------+---------+---------+---------+---------+---------+---------+----------+-------------------------+
|      Word//word combination      | Score 1 | Score 2 | Score 3 | Score 4 | Score 5 | Score 6 | Score 7 | My score | Average sentiment score |
|              агон≥€              |    -2   |    -2   |    -2   |    -1   |    Ч    |    Ч    |    Ч    |    -2    |          -1,80          |
|             аграр≥й              |    1    |    0    |    0    |    0    |    0    |    1    |    0    |    2     |           0,50          |
|             аграрний             |    0    |    0    |    1    |    0    |    Ч    |    Ч    |    Ч    |    2     |           0,60          |
|             агрегат              |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|            агресивний            |    -2   |    -2   |    -2   |    -2   |    Ч    |    Ч    |    Ч    |    -2    |          -2,00          |
|           агресивн≥сть           |    -2   |    -2   |    -2   |    -2   |    Ч    |    Ч    |    Ч    |    -2    |          -2,00          |
|             агрес≥€              |    -2   |    -2   |    -2   |    -2   |    -2   |    -2   |    -2   |    -2    |          -2,00          |
|             агресор              |    -2   |    -2   |    -2   |    -2   |    -2   |    -2   |    -1   |    -2    |          -1,88          |
|           агровиробник           |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    2     |           0,60          |
|             агроном              |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    2     |           0,60          |
|           агроном≥чний           |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    2     |           0,60          |
|          агропродукц≥€           |    0    |    2    |    0    |    0    |    Ч    |    Ч    |    Ч    |    2     |           0,80          |
|         агропромисловий          |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    2     |           0,60          |
|            јгросфера             |    1    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    2     |           0,80          |
|           агротехн≥ка            |    1    |    1    |    0    |    1    |    Ч    |    Ч    |    Ч    |    2     |           1,00          |
|            агроф≥рма             |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|            адаптац≥€             |    0    |    0    |    0    |    1    |    1    |    0    |    0    |    1     |           0,38          |
|            адаптивний            |    0    |    1    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|           адаптивн≥сть           |    1    |    1    |    1    |    0    |    Ч    |    Ч    |    Ч    |    2     |           1,00          |
|           адаптований            |    1    |    1    |    1    |    1    |    Ч    |    Ч    |    Ч    |    1     |           1,00          |
|            адаптувати            |    2    |    0    |    1    |    1    |    1    |    0    |    0    |    1     |           0,75          |
|             адвокат              |    2    |    -1   |    0    |    0    |    1    |    1    |    1    |    1     |           0,63          |
|            адвокатка             |    1    |    1    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,80          |
|           адвокатський           |    1    |    1    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,80          |
|            адекватний            |    2    |    1    |    1    |    -1   |    2    |    1    |    1    |    2     |           1,13          |
|            адм≥нарешт            |    -1   |    -1   |    -1   |    -2   |    Ч    |    Ч    |    Ч    |    -1    |          -1,20          |
|           адм≥нбуд≥вл€           |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|      адм≥нв≥дпов≥дальн≥сть       |    2    |    2    |    1    |    0    |    Ч    |    Ч    |    Ч    |    2     |           1,40          |
|         адм≥н≥стративний         |    0    |    0    |    0    |    -1   |    1    |    1    |    1    |    0     |           0,25          |
|  адм≥н≥стративно-територ≥альний  |    0    |    1    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|          адм≥н≥страц≥€           |    1    |    1    |    1    |    -1   |    0    |    2    |    -1   |    0     |           0,38          |
|          адм≥нматер≥ал           |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|          адм≥нпорушенн€          |    -1   |    -2   |    -1   |    0    |    Ч    |    Ч    |    Ч    |    -1    |          -1,00          |
|           адм≥нреформа           |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|           адм≥нсправа            |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|             адм≥рал              |    0    |    1    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|            адренал≥н             |    1    |    2    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,80          |
|             адресний             |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|            адресувати            |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|             аеробний             |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    0     |           0,20          |
|            аерозйомка            |    1    |    1    |    1    |    1    |    Ч    |    Ч    |    Ч    |    1     |           1,00          |
|             аерозоль             |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    -1    |          -0,20          |
|             аероплан             |    0    |    1    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|             аеропорт             |    1    |    2    |    1    |    0    |    0    |    2    |    -1   |    1     |           0,75          |
|            аеротор≥€             |    1    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|             аерофлот             |    1    |    0    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|               ј≈—                |    1    |    2    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           1,00          |
|             ажурний              |    1    |    2    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           1,00          |
|              азарт               |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    -2    |          -0,20          |
|             азартний             |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    -2    |          -0,20          |
|           јзербайджан            |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|          азербайджанець          |    0    |    1    |    -1   |    -1   |    -1   |    0    |    0    |    1     |          -0,13          |
|         азербайджанський         |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|          азербайджанц≥           |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|               јз≥€               |    0    |    -1   |    -1   |    1    |    0    |    0    |    0    |    -1    |          -0,25          |
|            азовський             |    0    |    1    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|               азот               |    0    |    2    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|               ј«—                |    0    |    0    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|               айва               |    1    |    1    |    0    |    1    |    Ч    |    Ч    |    Ч    |    0     |           0,60          |
|             айсберг              |    1    |    2    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,80          |
|              айфон               |    0    |    2    |    -1   |    2    |    Ч    |    Ч    |    Ч    |    1     |           0,80          |
|             академ≥к             |    2    |    1    |    1    |    1    |    Ч    |    Ч    |    Ч    |    1     |           1,20          |
|            академ≥ст             |    1    |    2    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           1,00          |
|           академ≥чний            |    0    |    0    |    1    |    1    |    1    |    0    |    1    |    1     |           0,63          |
|             академ≥€             |    0    |    0    |    1    |    1    |    2    |    2    |    1    |    2     |           1,13          |
|          јкадемм≥стечко          |    0    |    0    |    0    |    1    |    Ч    |    Ч    |    Ч    |    0     |           0,20          |
|              акац≥€              |    0    |    0    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|             акваланг             |    0    |    1    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|           акваланг≥ст            |    0    |    0    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|          аквамариновий           |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|             акварель             |    0    |    2    |    0    |    0    |    Ч    |    Ч    |    Ч    |    0     |           0,40          |
|           акварельний            |    0    |    1    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|            акватор≥€             |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|             аккаунт              |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|         акл≥матизуватис€         |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|               акне               |    -2   |    -2   |    -2   |    0    |    Ч    |    Ч    |    Ч    |    -1    |          -1,40          |
|           акомпанемент           |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    0     |           0,20          |
|              акорд               |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|             акордеон             |    0    |    0    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|           акредитац≥€            |    0    |    2    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|          акредитований           |    0    |    0    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|            акробатика            |    0    |    0    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|             акрон≥м              |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|             јкрополь             |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|             аксесуар             |    1    |    2    |    1    |    2    |    1    |    1    |    0    |    0     |           1,00          |
|               акт                |    -1   |    0    |    -1   |    0    |    0    |    0    |    0    |    1     |          -0,13          |
|              актив               |    1    |    2    |    1    |    1    |    1    |    0    |    2    |    1     |           1,13          |
|           актив≥зац≥€            |    0    |    1    |    1    |    1    |    1    |    0    |    1    |    2     |           0,88          |
|           актив≥зувати           |    1    |    1    |    1    |    1    |    1    |    1    |    0    |    2     |           1,00          |
|             актив≥ст             |    0    |    1    |    1    |    1    |    1    |    1    |    0    |    2     |           0,88          |
|             активний             |    1    |    1    |    1    |    1    |    2    |    2    |    2    |    1     |           1,38          |
|            активн≥сть            |    1    |    1    |    1    |    1    |    1    |    2    |    2    |    2     |           1,38          |
|             активно              |    2    |    1    |    1    |    1    |    1    |    1    |    1    |    1     |           1,13          |
|            активувати            |    0    |    0    |    1    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|              актор               |    1    |    1    |    1    |    1    |    1    |    1    |    0    |    1     |           0,88          |
|             акторка              |    1    |    0    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|            актуальний            |    2    |    2    |    2    |    1    |    1    |    1    |    2    |    2     |           1,63          |
|           актуальн≥сть           |    1    |    1    |    1    |    1    |    Ч    |    Ч    |    Ч    |    2     |           1,20          |
|            актуально             |    2    |    1    |    1    |    1    |    Ч    |    Ч    |    Ч    |    2     |           1,40          |
|              акула               |    -1   |    -1   |    0    |    -1   |    Ч    |    Ч    |    Ч    |    -2    |          -1,00          |
|            акумул€тор            |    0    |    0    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|            акуратний             |    1    |    2    |    1    |    1    |    Ч    |    Ч    |    Ч    |    2     |           1,40          |
|           акуратн≥сть            |    1    |    2    |    1    |    1    |    Ч    |    Ч    |    Ч    |    2     |           1,40          |
|              акушер              |    2    |    -2   |    1    |    0    |    Ч    |    Ч    |    Ч    |    2     |           0,60          |
|              акцент              |    1    |    2    |    0    |    1    |    0    |    1    |    1    |    1     |           0,88          |
|           акцентуванн€           |    1    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|           акцентувати            |    0    |    0    |    0    |    2    |    0    |    1    |    1    |    2     |           0,75          |
|              акциз               |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|             акцизний             |    0    |    1    |    0    |    -1   |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
